City ID,City,Country,Lat,Lng,Temperature,Humidity,Clouds,Wind Speed
1490085,Tarko-Sale,RU,64.9225,77.785,28.0,90,100,11.52
4470244,Havelock,US,34.8791,-76.9013,59.32,62,0,1.01
3451138,Rio Grande,BR,-32.035,-52.0986,62.01,86,0,11.3
1486321,Yar-Sale,RU,66.8333,70.8333,29.44,96,100,20.56
3933659,Pacocha,PE,-17.5833,-71.3333,66.06,84,73,3.4
3146487,Raudeberg,NO,61.9875,5.1352,41.0,79,14,15.59
3421982,Maniitsoq,GL,65.4167,-52.9,35.01,70,2,5.37
3347853,Longonjo,AO,-12.9067,15.2533,62.2,93,100,0.13
546105,Nikolskoye,RU,59.7035,30.7861,36.1,75,0,3.0
2126682,Bilibino,RU,68.0546,166.4372,19.92,58,20,3.6
1263968,Manali,IN,13.1667,80.2667,82.99,83,40,4.25
2119283,Zyryanka,RU,65.75,150.85,33.6,81,66,4.43
239899,Bria,CF,6.5423,21.9863,71.44,75,97,4.21
4019233,Aguascalientes,MX,21.8833,-102.3,80.6,10,1,21.85
2022564,Khatassy,RU,61.9036,129.6383,46.4,46,0,6.71
5870133,Nome,US,64.5011,-165.4064,26.24,74,90,9.22
3557758,Guane,CU,22.2025,-84.0875,78.21,73,40,3.53
2027296,Aykhal,RU,66.0,111.5,32.94,100,100,3.62
2208248,Kaitangata,NZ,-46.2817,169.8464,61.0,54,15,15.01
4975966,Presque Isle,US,46.6811,-68.0159,43.14,31,1,9.22
5282297,Bethel,US,41.3712,-73.414,54.1,24,1,2.66
1649150,Bengkulu,ID,-3.8004,102.2655,79.11,79,62,3.98
3372707,Ribeira Grande,PT,38.5167,-28.7,60.64,95,100,15.03
6014443,Lac du Bonnet,CA,50.2536,-96.0612,52.36,59,0,9.1
3690572,Acandí,CO,8.5063,-77.2778,76.51,89,100,3.09
3389822,Salinópolis,BR,-0.6136,-47.3561,78.17,83,83,5.03
3443061,Chui,UY,-33.6971,-53.4616,61.41,90,0,6.42
4565090,Guánica,PR,17.9716,-66.908,72.64,89,72,4.74
2269594,Cascais,PT,38.6979,-9.4215,52.5,73,8,10.07
1495385,Pelym,RU,61.0108,61.9978,43.34,86,100,6.76
4020109,Atuona,PF,-9.8,-139.0333,79.61,68,9,6.93
100926,Umluj,SA,25.0213,37.2685,80.35,59,0,9.89
4414200,West Plains,US,36.7281,-91.8524,73.4,35,1,9.22
64814,Bandarbeyla,SO,9.4942,50.8122,83.07,74,28,7.27
216281,Goma,CD,-1.6792,29.2228,62.08,90,100,2.3
1259385,Port Blair,IN,11.6667,92.75,83.91,71,13,2.84
1235846,Matara,LK,5.9485,80.5353,77.72,88,79,2.84
5882953,Aklavik,CA,68.2191,-135.0107,27.45,68,100,4.61
934322,Mahébourg,MU,-20.4081,57.7,73.4,94,40,7.72
1255708,Sorbhog,IN,26.5,90.8667,79.81,43,2,3.02
2522437,Adeje,ES,28.1227,-16.726,60.98,59,40,11.5
1244926,Hambantota,LK,6.1241,81.1185,77.0,100,40,1.14
6058415,Logan Lake,CA,50.4998,-120.8025,52.77,54,75,4.61
4355274,Forestville,US,38.8451,-76.875,56.7,31,1,3.44
1277599,Balasore,IN,21.4942,86.9317,80.87,81,21,11.72
2012530,Zhigansk,RU,66.7697,123.3711,33.04,97,100,6.33
